Campaign Shortname;Campaign Longname;Description;Description - DRAFT;NASA Earth Science Focus Areas;Scientific Objective Focus Phenomena;Region of Campaign Description;Campaign Spatial Bounds (N,S,E,W lat/lon);Season(s) of Study;Campaign Start Date (date of first deployment start);Campaign End Date (date of last deployment end);Number of Deployments;Significant Events;Funding Agency;NASA Funding Program;Responsible NASA Funding Program Lead;Responsible NASA Campaign or Project Lead;Data Manager/ Technical Contact (person or NID);Platform Types (limited fields tab);ADMG's Aircraft Shortames (Camp/Plat/Inst tab);Aircraft-based Instruments (consistent w/ C/D/P/I tab);Non-Aircraft Platform Types;Non-airborne Instruments;Total Flights;Campaign Geophysical Phenomena Studied (from GCMD variable list);Campaign Geophysical Phenomena UUID - internal 4 digit codes;Campaign DOI;Campaign Logo - Image Name;Campaign Logo - Image Location (URL);Campaign Logo - Image Owner (Should be NASA);Campaign Publication(s);Supported NASA Mission(s);Number of Published Data Products;Campaign Data Total Volume (Gb);Assigned Archive Repository (DAAC);Repository/Primary Website (DAAC homepage);Project/Secondary Website (not a DAAC);Other Campaign Resources;non-NASA-led campaign: NASA was a Significant Participant;Partner Organizations;Partner Website(s);Campaign is Ongoing (True or False);Campaign's GCMD Projects UUID;Campaign notes;Notes/ Notes to the Reviewer;Working;Metadata Collection Completion Date;Checked
ARESE;Atmospheric Radiation Measurement Enhanced Shortwave Experiment;;ARESE was a collaboration between NASA and the Department of Energy to study the absorption that occurs in the atmosphere. This campaign took place mostly over the Southern Great Plains, and used airborne, ground, and satellite instruments to collect data. The first deployment was in 1995, and a second deployment was funded and occured in 2000. The goals of the campaign were to study solar radiation absorption on cloudy days versus clear days, and to study the accuracy of model predictions of absorptions.;Atmospheric Composition;Solar radiation, absorption, solar irradiance, clouds, aerosols, model accuracy, cloud properties;Southern Great Plains, Southern and Southwestern United States;37, 23, -88, -121;boreal fall, boreal spring;9/22/1995;4/15/2000;2;10/30/1995, 3/29/2000;NASA, DoE;NID;NID;Fancisco Valero;NID;Aircraft, Satellites, Land-based Platforms;ER-2, Twin Otter, Egrett;ER-2: RAMS, MAS, TSBR, FSBR, TDDR, Twin Otter: TSBR, FSBR, TDDR, SSP2, ACR, FSSP, MMCR, CM21, CM22, Egrett: TSBR, FSBR, TDDR;Ground Platforms, GOES, CART, Landsat;RAMS, SIRS;44;Aerosols, absorption, incoming solar radiation, atmospheric radiation, absorption, cloud radiative transfer, clouds, cloud properties;1130, 1229, 1238, 1256, 1429, 1436, 1502, 1415;https:doi.org/10.5067/ASDC_DAAC/ARESE/0001;;;;https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/97JD02434;N/A;1;;ASDC;https://eosweb.larc.nasa.gov/project/arese/arese_table;;"https://www.arm.gov/research/campaigns/sgp1995arese
Only ER-2/MAS data at ASDC, DOE-NASA collaboration. DOE data on DOE data repository but MAS data not archived there. https://eosweb.larc.nasa.gov/project/arese/arese_table
https://eosweb.larc.nasa.gov/sites/default/files/project/arese/guide/arese_project.pdf
https://earthobservatory.nasa.gov/Features/BlanketClouds/";N/A;DoE, DoD;https://www.energy.gov/, https://www.defense.gov/;FALSE;6ae368ca-ed43-44fa-b422-e0c796881f26;;;SB;1/29/2020;CW
ASO;Airborne Snow Observatory;;NASA/JPL, with support from the NASA Terrestrial Hydrology and Applied Sciences programs, and in partnership with the California Department of Water Resources and other state and local entities, has developed the Airborne Snow Observatory (ASO), an imaging spectrometer and lidar system. The primary science objectives of the ASO are to quantify SWE and snow albedo for entire mountain watersheds, generate knowledge of snow properties and their spatial and temporal variability, and provide inputs to water management models and systems of the future;Global Water & Energy Cycle;;watershed basins in California & Colorado;;;2/8/2016;6/2/2018;27;;;;Jared Entin;Tom Painter;Kate Heightley;Aircraft;DHC-6 - GRC, King Air;Riegl LMS-Q1560;;;;;;;;;;;;;;NSIDC DAAC;http://nsidc.org/data/ASO;;N/A;;;N/A;;1f515c33-1841-4897-922c-8cc6486c6341;;;;;
ATom;Atmospheric Tomography Mission;;AToM was a study of the impact of human-produced air pollution on greenhouse gases and on chemically reactive gases in the atmosphere. Airborne instruments looked at how atmospheric chemistry is transformed by various air pollutants and at the impact on CH4 and O3. Mitigation of these short-lived climate forcers is a major component of current international policy discussions. ATom deployed an extensive gas and aerosol payload on the NASA DC-8 aircraft for systematic, global-scale sampling of the atmosphere, profiling continuously from 0.2 to 12 km altitude. Flights occured in each of 4 seasons between 2016 and 2018. They originated from the Armstrong Flight Research Center in Palmdale, California, flew north to the western Arctic, south to the South Pacific, east to the Atlantic, north to Greenland, and returned to California across central North America. ATom established a single, contiguous global-scale data set. This comprehensive data set will be used to improve the representation of chemically reactive gases and short-lived climate forcers in global models of atmospheric chemistry and climate. Profiles of the reactive gases will also provide critical information for validation of satellite data, particularly in remote areas where in situ data is lacking.;Atmospheric Composition, Carbon Cycle & Ecosystems, Climate Variability & Change;human-produced air pollution, methane, ozone;western Arctic, south Pacific, Atlantic, Greenland, Central North America;;year round;7/29/2016;5/21/2018;4;N/A;NASA;EVS-2;Jennifer Olsen;Dave Jordan (NASA PM), Steven Wofsy (Harvard PI);;Aircraft, Model Output, Balloons;DC-8;DC-8: AMP, AO2, ATHOS, CAFS, CAPS, CIT-CIMS, DLH, GT-CIMS, HR-AMS, ISAF, Medusa, MMS, NOAA CIMS, Picarro, NOyO3, PALMS, PANTHER, PFP, QCLS, SAGA, SP-2, TOGA, UCATS, WAS;model, sondes;CAMChem, GEOSChem, GEOS5, GFDLAM3, GISSE2, GMI, GMI4D, GMICTM, UCICTM, WRF, ozonesonde, radiosonde;48;air quality, atmospheric chemistry, ozone, methane;1142, 1207, 1195, 1157;https://doi.org/10.3334/ORNLDAAC/1581;;;;https://esdpubs.nasa.gov/pubs_by_mission/ATom;;20;;ORNL;https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1581;;https://espo.nasa.gov/atom/content/ATom, https://daac.ornl.gov/ATOM/campaign/;N/A;N/A;N/A;FALSE;75ec4186-d922-45bc-bd71-2e22ee2ff96d;;"there wasn't an overall paper on the campaign--thinking that may be due to datasets still being published to this day for the project
Review: Campaign tab: ORNL’s documentation lists the start date as 7/28/2016, I added in EVS-2 for the NASA funding program, It looks like satellite data was used, so should it be listed as a platform?, DOI listed looks like it’s for a data product, not the campaign, I counted 26 data products from ED search, and ORNL says there are 18, so it looks like there are some discrepancies; Deployment tab: Should the deployment names be the seasons they took place in?, The dates listed are off by one day than the ones on the ORNL site, don’t know if that’s a typo or if they’re from a resource I missed";CW;;SB
ATTREX;Airborne Tropical Tropopause Experiment;;1130, 1244, 1681, 1171, 2205;Atmospheric Composition;tropospheric water vapor, stratospheric humidity, stratospheric water vapor, tropical tropopause layer, chemical composition, cloud properties;California, Guam;36, -12, -113, -174;boreal fall, boreal winter, boreal spring;10/20/2011;3/14/2015;4;11/5/2011, 11/6/2011, 11/9/2011, 11/10/2011, 2/5/2013, 2/9/2013, 2/14/2013, 3/4/2014;NASA;NASA Earth Ventures program;Dr. Ken Jucks, Hal Maring;Eric Jensen;NID;Aircraft;GH;GH: CPL, MTP, DOAS, WAS, UCATS, Picarro, NW, DLH, Hawkeye, MMS, SSFR, FCDP, GHOST, AIITS;N/A;N/A;20;chemical composition, tropopause, water vapor, cloud properties, radiative flux, humidity, relative humidity, water vapor mixing ratio profiles;1123, 1149, 1311, 1428, 1244, 1305, 1302, 1330;N/A;;;;"https://www.researchgate.net/profile/K_Pfeilsticker/publication/255171619_The_NASA_Airborne_Tropical_TRopopause_EXperiment_ATTREX/links/00b4951ffcba50c222000000/The-NASA-Airborne-Tropical-TRopopause-EXperiment-ATTREX.pdf
https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-14-00263.1";N/A;5;;ASDC;https://eosweb.larc.nasa.gov/project/attrex/attrex_table;;"https://espo.nasa.gov/attrex
https://eosweb.larc.nasa.gov/project/attrex/attrex_table
https://espoarchive.nasa.gov/archive/browse/attrex";N/A;DFG, NERC, CPO;"https://www.dfg.de/en/
https://nerc.ukri.org/
https://cpo.noaa.gov/";FALSE;28d076d2-5219-4549-8e60-64b2904f5798;"GHOST and AIITS instruments were only used on the 2015 flights 
NW instrument was added to the payload in 2013 so was not used during the 2011 flights";"Review: Campaign tab: Would the funding program be EVS-1 or leave as is? (https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=199319/solicitationId=%7BB94FE9A7-CF32-B056-A72B-6CF2C9C93931%7D/viewSolicitationDocument=1/A.39%20EV-1%20amend%2019.pdf), Overview paper doesn’t cover whole campaign but it looks like it’s the best one out there…; Instruments tab: CPL’s aircraft and campaign columns aren’t referenced by the correct short-names, but they were highlighted so I didn’t want to mess with them. Need Admin ; IOP/SE tab: iop_3 date range is longer than the dep_2014 range; Partner Orgs tab: DFC: should this be referred to as “German Research Foundation”?";AS;1/31/2020;SB
BOREAS;Boreal Ecosystem-Atmosphere Study;;BOREAS took place between 1993-1996. It’s focus area was the boreal forests of central Canada. This campaign studied the interaction between the boreal forest and the troposphere, and it mainly considered radiative energy, CO2, trace gases, and sensible heat. The goals of this campaign were to better understand this interaction and to help improve simulation models used for processes affecting climate shifts. Numerous aircraft and flux towers were used to collect extensive amounts of data. It supported NASA’s Mission to Planet Earth.;Climate Variability & Change, Carbon Cycle & Ecosystems;Radiative energy, sensible heat, water, CO2, trace gases, boreal forests, atmosphere, tropopause;Boreal forests of central Canada;60, 50, -94, -112;year round;2/2/1994;10/20/1996;2;2/5/94, 4/17/94, 6/5/94, 7/21/94, 8/3/94, 9/10/94;;;;Piers J. Sellers;Merilyn Gentry;Aircraft, Land-based Platforms, Model Output, Satellite;C-130, DC-8, ER-2, Chieftain, Twin Otter, PA-34, Aerocommander, Long EZ, UWKA, Electra, CV-580, UH-1;ER-2: AVIRIS, MAS, C-130: ASAS, TMS, MAS, ATSP, POLDER, Chieftain: CASI, UH-1: SE-590, MMR, C-band Scatterometer, ATSP, POLDER, DC-8: AIRSAR, CV-580: CCRS-SAR, Twin Otter: LICOR 6262, ESRI, Rosemount 858AJ, Rosemount 102, Paroscientific 215-AW-012, Paroscientific 102, EG&G dew point sensor, Aerocommander: Gamma ray equipment, Electra: DIAL, Rosemount 1221, LI6262, Lyman-Alpha hygrometer, Rosemount 102, NCAR reverse flow probe, Rosemount 1501, King Air: LICOR 6262, Rosemount 858AJ, Rosemount 1501, Long EZ: IRGA, LI6262, PA-34: CO2 profiles;Ground stations, flux towers, ERS-1, GOES, Landsat-5, NOAA-12, NOAA-14, SPOT-2, SPOT-3;Cloud sensing radar, RASS, TRAC, TOMS, PAR;578;Forest science, carbon dioxide, trace gases/trace species, atmospheric radiation, boreal forests/taiga, climate indicators;1057, 1151, 1206, 1256, 1995, 2355;NID;;;;https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/97JD03300;MTPE;307;;ORNL;https://daac.ornl.gov/BOREAS/bhs/BOREAS_Home.html;;"https://daac.ornl.gov/BOREAS/bhs/BOREAS_Home.html
https://daac.ornl.gov/BOREAS/bhs/Acrobat/boreas_94_operations.pdf
https://daac.ornl.gov/BOREAS/bhs/Acrobat/boreas_96_operations.pdf
https://daac.ornl.gov/daacdata/boreas/AFM/afm3mw94/comp/AFM03_AC_Flux.txt";;ECCC, USFS, NSERC, HC, NTC, ISTC, CRES, RSC;https://www.canada.ca/en/environment-climate-change.html , https://www.fs.fed.us , https://www.nserc-crsng.gc.ca/NSERC-CRSNG/Index_eng.asp , https://nationaltrustcanada.ca/ , http://cress.info.yorku.ca/ , https://rsc-src.ca/;FALSE;c8cf348a-3658-43d2-a0b9-8fd59e0db757;;NTC is the new name of HC. CRES is the new name for ISTC. The partners are referred to by the old names because the changes took place after BOREAS. Included both for consistency.;SB;Nov 26;CW
BROMEX;Bromine, Ozone, and Mercury Experiment;;The BRomine, Ozone, and Mercury EXperiment (BROMEX) took place during the spring of 2012, and it was designed to investigate the effects Arctic sea ice decline has on the chemical make-up of the surrounding atmosphere and sea ice surfaces. The primary study area encompassed Barrow, Alaska, the Beaufort Sea and the Chukchi Sea. Scientists worked in these areas to better understand both the chemical process behind bromine explosions that occur on the ice and the life spans of the explosions (e.g., how they begin and end), the spatial and temporal distribution of bromine, ozone and gaseous mercury within the environment, and if/how long the declining trend in Arctic sea ice will persist.;Atmospheric Composition, Earth Surface & Interior;arctic sea ice, bromine, ozone, mercury, atmospheric chemistry, sea ice decline, satellite validation, chemical transport;Barrow, Alaska;75, 65, -160, -172;boreal spring;3/6/2012;5/15/2012;1;3/24/2012;NASA;NASA Cryospheric Sciences Program;NID;Son V. Nghiem;NID;Ground-based Platforms, Water-based Platforms, Satellites, Aircraft;ALAR;ALAR: BAT, HAIDI;Buoys, Satellites;MODIS, ASMR-E, QuikSAT, GOME-2, SCIAMACHY, OMI, RADARSAT-2, Envisat ASAR, TerraSAR-X, TanDEM-X, SMOS, CryoSat-2, Oceansat-2, IceLander IL1 & IL2;11;bromine monoxide, ozone, atmospheric chemistry, ice growth/melt, sea ice concentration, climate feedbacks, frozen ground, sea ice (cryosphere), sea ice (oceans);1161, 1195, 1207, 2220, 2223, 2205, 2366, 2413, 3157;NID;;;;https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1002/2013EO330002;N/A;0;;NID;NID;;https://airbornescience.jpl.nasa.gov/campaign/bromex;N/A;N/A;N/A;FALSE;14d25657-76a7-4570-82d2-27f8eb0bd2f8;"originally was going to include the P-3 as one of the aircraft flown during this project; however, it appears that although the P-3 was flown over the BROMEX study area, those flights were solely for IceBridge validation purposes and were not in connection to BROMEX";"Review: 
-Satellites are non-aircraft platforms, not instruments 
-This campaign appears to be unpublished? It’s not in EarthData search and doesn’t seem to be archived at a DAAC 


old notes: main campaign page is down
not in earthdata??
there is a paper I downloaded, Studying Bromine, Ozone, and Mercury Chemistry in the arctic, EOS vol 94, no 33, 13 aug 2013, pages 289-291";CW;2/20/2020;SB
C3VP;Canadian CloudSat/CALIPSO Validation Programme;;C3VP was a campaign hosted by Environment Canada that NASA participated in. This campaign supported NASA’s GPM/PMM mission. C3VP focused on satellite validation for Canada’s CloudSat and NASA’s CALIPSO. It also studied snow microphysical properties, ground validation for GPM instruments, and improvement of the CRM. The campaign took place in Ontario, predominantly over the CARE site. It incorporated aircraft, satellites, and ground stations to collect data.;Global Water & Energy Cycle;Snow, ground validation, satellite validation, ice, radar reflectivity, microphysics validation, snow storms, snow fall, snow microphysics;Ontario, Great Lakes;46, 44, -74, -78;boreal fall, boreal winter;10/31/2006;4/27/2007;1;12/6/2006, 1/20/2007-1/22/2007, 2/20/2007;Environment Canada, NASA;PMM;Ramesh Kakar;David Hudak;NID;Aircraft, Land-based Platforms, Satellites;CV-580;CV-580: 2D-C/P, CVI, CSI, RICE, AERIAL, PMS King probe;Ground stations, models, CARE;Radar, 2DVD;21;Clouds, snow, precipitation, snow microstructure, radar reflectivity, radar, snow storms, solid precipitation, cloud microphysics;1502, 1538, 1542, 2436, 3749, 3754, 1567, 1539, 1399;NID;;;;NID;GPM/PMM;1;;GHRC;NID;;"This was a validation campaign, largely canadian with only a portion related to GPM validation. http://www.crahi.upc.edu/ERAD2006/proceedingsMask/00165.pdf
https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2008JD009971
https://pdfs.semanticscholar.org/presentation/9040/51a774073f26c210a453cc947b15ee3bd77d.pdf
https://pmm.nasa.gov/science/ground-validation/c3vp
https://pmm.nasa.gov/sites/default/files/document_files/petersenetal_C3VP.pdf
https://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/20110008792.pdf
http://www.star.nesdis.noaa.gov/jcsda/documents/seminardocs/GJackson_GPMSnow_20090311.pd
https://pmm.nasa.gov/sites/default/files/document_files/GPM_GVS_imp_plan_Jul08.pdf
https://ams.confex.com/ams/pdfpapers/123652.pdf";YES;ECCC;https://www.canada.ca/en/environment-climate-change.html;FALSE;NID;;No GCMD UUID;SB;;CW
CalWater;CalWater;;CalWater was a multi-year campaign that took place in the Sierra Nevada range in California from 2009-2015. NASA was a significant participant of the 2015 deployment by providing the ER-2 and multiple instruments. The focus of this campaign was to study aerosols and their effect on cloud seeding. It also studied aerosols’ impact on California’s water supply. The second half of the campaign focused more on atmospheric rivers and their effects. The campaign was funded by NOAA, DoE, NSF, and NASA as a collaborative effort. The campaign utilized ground instruments, aircraft, satellites, and ships to collect data.;Weather, Global Water & Energy Cycle;Hydrology, precipitation, aerosols, clouds, cloud seeding, anthropogenic aerosols, water supply, atmospheric rivers, orographic precipitation, snow-water equivalent;California, Sierra Nevada Range;42, 32, -114, -125;boreal winter;2/22/2009;3/8/2015;5;1/20/2015-1/25/2015, 2/6/2015-2/8/2015;NOAA, DoE, NASA, CEC, NSF;ASP;NID;David Diner;NID;Aircraft, Water-based Platforms, Land-based Platforms;G-1, G-IV, P-3, ER-2;G-1: PCASP, UHSAS, 2DS, CDP, CIP, G-IV: dropsondes, TDR, P-3: W-band radar, dropsondes, AXBT, 2D-C/P, TDR, ER-2: AirMSPI, AVIRIS, HAMSR, CPL;RVB, ground stations, GOES-15, Terra, CALIPSO, F16, F17, F18, AMF2;Radar, SSMIS;95;Aerosols, clouds, rain, snow water equivalent, snow, droughts, floods, atmospheric water vapor, precipitation;1130, 1502, 1516, 1530, 1538, 2533, 2536, 1332, 1542;NID;;;;https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-14-00043.1;CALIPSO;2;;ASDC;NID;;"https://www.esrl.noaa.gov/psd/calwater/pdf/CalWater2-08July14.pdf, 
https://journals.ametsoc.org/doi/pdf/10.1175/MWR-D-17-0055.1, 
https://airbornescience.nasa.gov/sites/default/files/documents/ASP_Spring2015_nsltr.pdf";YES;NOAA, DOE, NSF;ttps://www.noaa.gov/ , https://www.energy.gov/ , https://www.nsf.gov/;FALSE;NID;This campaign had multiple deployments from 2009-2015, but only 2015 is included in this inventory as per ADMG's definition for NASA being a significant participant. 95 flights includes flights from other deployments;No GCMD UUID;SB;2/13/2020;CW
CAMEX;Convection and Moisture Experiment;;CAMEX was a NASA campaign that had 4 deployments from 1993-2001. The first two deployments were based out of Wallops Flight Facility and focused on testing airborne and ground instruments for TRMM validation. The focus shifted for the last two deployments. CAMEX-3 and CAMEX-4 were based out of Patrick AFB and MacDill AFB, respectively. The focus of these two deployments was on hurricane intensification, hurricane tracking, forecasting, and TRMM ground validation. The deployments were during Sep-Oct 1993, Aug-Sep 1995, 1998, 2001. CAMEX used a variety of airborne and ground instruments and supported NASA’s Mission to Planet Earth.;Weather, Global Water & Energy Cycle;Moisture fields, forecasting, hurricanes, tropical storms, ground validation, hurricane development, hurricane intensification, precipitation;US Atlantic coast, Gulf of Mexico, Caribbean;50, 10, -60, -100;warm, boreal summer, boreal fall;9/7/1993;9/24/2001;4;10/5/1993, 8/21/1998, 8/23/1998, 8/24/1998, 8/26/1998, 8/29/1998, 8/30/1998, 9/2/1998, 9/21/1998, 9/22/1998, 9/25/1998, 9/27/1998, 8/20/2001, 9/10/2001, 9/15/2001, 9/16/2001, 9/22/2001, 9/23/2001, 9/24/2001;ADRSP, SSP;;Ramesh Kakar;Ramesh Kakar;NID;Aircraft, Satellites, Land-based Platforms;ER-2, DC-8, WP-3D, Aerosonde;ER-2: EDOP, HIS, AMPR, LIP, MAMS, SRL, MIR, MTS, NAST-I, NAST-MTS, NOAA-O3, EHAD, HAMSR, MAS, MTP, Lyman-Alpha hygrometer, DC-8: AMMR, ARMAR, AVAPS, CAPAC, JPL SAW, Laser hygrometer, LASE, MACAWS, MMS, PSR, 2DP, PR-2, ACLAIM, CPI, C-STAR, CVI, D8D, HVPS, JLH, LIP, MTP, Nesorov, WP-3D: C-band radar, X-band radar, 2D-C/P, Johnson Williams hot wire, PMS King probe, Formvar Replicator-DRI, Particle charge probe-DRI, Field-Mills-DRI, Rosemount, AXBT, dropwindsonde, HVPS, AOC, PRT-5, SFMR, Aerosonde: Laser altimeter, Aerosonde;TRMM, GOES-8, Lidar, Radar, QuickSCAT, Terra, Chessie;Rawinsonde, HIS, SRL, AERI, MIPS, C-band Doppler, S-band Doppler, NPOL, SMART;236;Anticyclones/cyclones, Accumulated cyclone energy Hurricanes (N. Atlantic/E. Pacific), Peak intensity Hurricanes (N. Atlantic/E. Pacific), Tropical storm track, Tropical cyclones, Hurricanes, Lightning, Accumulative Convective Precipitation, Precipitation, Convection;1213, 1592, 1628, 1673, 1674, 2543, 1210, 1503, 1542, 3038;NID;;;;https://journals.ametsoc.org/doi/pdf/10.1175/JAS3607.1;MTPE, TOGA COARE;68;;GHRC;NID;;https://search.earthdata.nasa.gov/search/granules/collection-details?p=C1648332-GHRC&m=-0.140625!0!2!1!0!0%2C2&q=camex1&ok=camex1&ac=true;N/A;HRD;https://www.aoml.noaa.gov/hrd/;FALSE;df5373fc-f65c-4f29-92dd-45bdd28ea541;;"CAMEX-3 and CAMEX-4 had flights where they worked closely with TELFUN. Ramesh Kakar wrote the BAMS article, but he also is listed as a sponsor, which is why he is listed as the funding lead and the campaign lead. 

Reviewer: See review notes in the campaign notes for CAMEX";SB;12/6/2019;CW
CARVE;Carbon in Arctic Reservoirs Vulnerability Experiment;The Carbon in Arctic Reservoirs Vulnerability Experiment (CARVE) focused on quantifying arctic storage and fluxes of carbon and how these relate to climate change. CARVE had 3 deployments over Alaska during the boreal spring, summer, and fall of 2011-2015. Airborne observations of gas concentrations, water vapor, and other parameters were supplemented by ground sites that included flux towers. CARVE was one of NASA’s Earth Venture Suborbital-1 projects.;CARVE investigated arctic carbon fluxes along with the carbon cycle in Alaska, and looked at how these pertain to climate change. Three deployments took place in the spring, summer, and fall of 2011-2015. Aircraft and ground stations gathered measurements of permafrost domains, surface parameters, and greenhouse gas concentrations, namely CO2, CO, and CH4. Model outputs of the fluxes for the same greenhouse gases were also used.;Atmospheric Composition, Climate Variability & Change, Carbon Cycle & Ecosystems;Carbon cycle, carbon fluxes, carbon dioxide concentration, carbon monoxide concentration, methane concentration, climate change, greenhouse gas concentration, arctic warming, carbon-climate feedbacks;Alaska;72, 59, -132, -168;boreal spring, boreal summer, boreal fall;5/23/2012;11/12/2015;4;24 Aug 2012, 5 Sep 2012, 16 Sep 2012, 26 Sep 2012, 9 June 2013, 10 June 2013, Aug 2013, May 2014;NASA;EVS-1;Bruce Tagg;Charles Miller;NID;Aircraft, Model Output, Land-based platforms, Maps/Charts/Photographs;C-23 Sherpa;C-23 Sherpa: Picarro, FTS, PFP, FLIR, PALS, DADS;Ground stations, models, flux towers;LI-COR(CRV), Picarro G2401, PFP;374;precipitation;1151, 1152, 1157, 1206, 2200, 2202, 2363, 1872, 1132, 1207, 1332;N/A;;;;NID;Climate, Weather, Water Cycle;28;;ORNL;https://carve.ornl.gov/;;https://carve.jpl.nasa.gov/, https://carve.ornl.gov/documentation.html, https://carve.ornl.gov/timeline;N/A;NOAA/NESDIS;https://www.esrl.noaa.gov/gmd/obop/brw/;FALSE;b1480611-f4c2-4f23-9b18-83017e49e118;"Appears there are DOIs for most/all the data products included in EarthData, but there is NOT an actual entire campaign DOI.

Number of Data Products: Discrepancies between EarthData Search (28) and ORNL's various pages (27, 23, depending on where look):

https://daac.ornl.gov/cgi-bin/dataset_lister.pl?p=35
https://carve.ornl.gov/dataproducts.html";"WONDERFUL timeline section https://carve.ornl.gov/timeline/
very, very good data and flight visualizations: https://carve.ornl.gov/visualize/index.html?fid=12079, Couldn't find a campaign doi. ORNL has a lot dedicated to CARVE, but not a doi. Had a hard time finding list of significant events. Dates given mentioned in https://www.researchgate.net/profile/T_Nehrkorn/publication/273996718_Atmospheric_transport_simulations_in_support_of_the_Carbon_in_Arctic_Reservoirs_Vulnerability_Experiment_CARVE/links/5538eb590cf2239f4e79e663.pdf 
Could not find a supported NASA mission or a campaign doi";SB;;SW
